OOXXX_O__ W: 28327, L: 58392, T: 13291
___X____O W: 56652, L: 116773, T: 26583
__XX_O__O W: 28327, L: 58392, T: 13291
XOXX_O__O W: 28327, L: 58392, T: 13291
XOXXXOO_O W: 56652, L: 116773, T: 26583
O______X_ W: 56652, L: 116773, T: 26583
OXO____X_ W: 56652, L: 116773, T: 26583
OXOO__XX_ W: 28327, L: 58392, T: 13291
______X_O W: 56652, L: 116773, T: 26583
X_____XOO W: 28327, L: 58392, T: 13291
X__OX_XOO W: 28327, L: 58392, T: 13291
X_OOXXXOO W: 28327, L: 58392, T: 13291
__OXX__O_ W: 28327, L: 58392, T: 13291
_OOXX_XO_ W: 28327, L: 58392, T: 13291
OO__X_X__ W: 56652, L: 116773, T: 26583
_X__O_X_O W: 28327, L: 58392, T: 13291
XX__O_XOO W: 28327, L: 58392, T: 13291
OOXXXOO_X W: 28327, L: 58392, T: 13291
O__O___XX W: 28327, L: 58392, T: 13291
O____X_OX W: 56652, L: 116773, T: 26583
__O_____X W: 56652, L: 116773, T: 26583
_____X_O_ W: 28327, L: 58392, T: 13291
_O__XXXOO W: 28327, L: 58392, T: 13291
OXO_____X W: 28327, L: 58392, T: 13291
OXO___XOX W: 28327, L: 58392, T: 13291
OXOX_OXOX W: 28327, L: 58392, T: 13291
OX_O____X W: 28327, L: 58392, T: 13291
OXOO_X__X W: 28327, L: 58392, T: 13291
____O___X W: 56652, L: 116773, T: 26583
_O_XO___X W: 28327, L: 58392, T: 13291
OO_XO_X_X W: 56652, L: 116773, T: 26583
__X_O____ W: 56652, L: 116773, T: 26583
__XXO_O__ W: 28327, L: 58392, T: 13291
O_XXOXO__ W: 28327, L: 58392, T: 13291
OXXXOXOO_ W: 56652, L: 116773, T: 26583
__XO_____ W: 56652, L: 116773, T: 26583
_OXO___X_ W: 28327, L: 58392, T: 13291
XOXOO__X_ W: 56652, L: 116773, T: 26583
XOXOOXOX_ W: 28327, L: 58392, T: 13291
____OXXO_ W: 56652, L: 116773, T: 26583
O___OXXOX W: 28327, L: 58392, T: 13291
OXO_OXXOX W: 28327, L: 58392, T: 13291
XOO_____X W: 28327, L: 58392, T: 13291
XOOX___OX W: 28327, L: 58392, T: 13291
OX___X__O W: 28327, L: 58392, T: 13291
OX___XXOO W: 28327, L: 58392, T: 13291
OXXO_XXOO W: 28327, L: 58392, T: 13291
__XO__X_O W: 28327, L: 58392, T: 13291
_XO_OX___ W: 28327, L: 58392, T: 13291
_O______X W: 28327, L: 58392, T: 13291
OO____X_X W: 28327, L: 58392, T: 13291
OOX__OX_X W: 28327, L: 58392, T: 13291
OO_X__X__ W: 56652, L: 116773, T: 26583
_O_X__O_X W: 28327, L: 58392, T: 13291
_O_XXOO_X W: 28327, L: 58392, T: 13291
X____OXO_ W: 56652, L: 116773, T: 26583
XX___OXOO W: 28327, L: 58392, T: 13291
_O___OX_X W: 28327, L: 58392, T: 13291
XOO__OX_X W: 28327, L: 58392, T: 13291
O____X___ W: 56652, L: 116773, T: 26583
O_OXOX__X W: 28327, L: 58392, T: 13291
OO_X_X___ W: 56652, L: 116773, T: 26583
OOXXOX___ W: 28327, L: 58392, T: 13291
_X__OX__O W: 28327, L: 58392, T: 13291
XO___XO__ W: 56652, L: 116773, T: 26583
XO_O_XOX_ W: 28327, L: 58392, T: 13291
__XOXO___ W: 28327, L: 58392, T: 13291
XOXOXO___ W: 28327, L: 58392, T: 13291
___X__O__ W: 56652, L: 116773, T: 26583
XOXXO_O__ W: 28327, L: 58392, T: 13291
XOXXOOOX_ W: 28327, L: 58392, T: 13291
OO____XX_ W: 28327, L: 58392, T: 13291
OOXO__XX_ W: 28327, L: 58392, T: 13291
OOXOOXXX_ W: 28327, L: 58392, T: 13291
O_____XOX W: 28327, L: 58392, T: 13291
O_XO__XOX W: 28327, L: 58392, T: 13291
OXXOO_XOX W: 28327, L: 58392, T: 13291
XOXXOXO_O W: 28327, L: 58392, T: 13291
_OO__X__X W: 28327, L: 58392, T: 13291
XOOO_X__X W: 28327, L: 58392, T: 13291
XOOO_XXOX W: 28327, L: 58392, T: 13291
O___O_XX_ W: 56652, L: 116773, T: 26583
OX__OOXX_ W: 28327, L: 58392, T: 13291
O___X__XO W: 28327, L: 58392, T: 13291
OO_XX__XO W: 56652, L: 116773, T: 26583
O_X_XO_XO W: 56652, L: 116773, T: 26583
_X_O_____ W: 28327, L: 58392, T: 13291
OX_OX____ W: 28327, L: 58392, T: 13291
OXXOX___O W: 28327, L: 58392, T: 13291
OXXOXX_OO W: 28327, L: 58392, T: 13291
__O___X__ W: 28327, L: 58392, T: 13291
_XO___X_O W: 28327, L: 58392, T: 13291
XXO___XOO W: 28327, L: 58392, T: 13291
XXOO_XXOO W: 28327, L: 58392, T: 13291
___XO____ W: 56652, L: 116773, T: 26583
_X_XO___O W: 56652, L: 116773, T: 26583
____OX___ W: 56652, L: 116773, T: 26583
_O__OX_X_ W: 28327, L: 58392, T: 13291
OO__OX_XX W: 28327, L: 58392, T: 13291
___XO_OX_ W: 28327, L: 58392, T: 13291
O_XXO_OX_ W: 28327, L: 58392, T: 13291
OXXO_____ W: 28327, L: 58392, T: 13291
OXXOXO___ W: 28327, L: 58392, T: 13291
XO_OX____ W: 28327, L: 58392, T: 13291
XO_OXXO__ W: 28327, L: 58392, T: 13291
XOXOXXOO_ W: 28327, L: 58392, T: 13291
X__O_____ W: 56652, L: 116773, T: 26583
X_XO__O__ W: 28327, L: 58392, T: 13291
X_XOOXO__ W: 28327, L: 58392, T: 13291
X___O__OX W: 28327, L: 58392, T: 13291
XOO____X_ W: 28327, L: 58392, T: 13291
XOOX___XO W: 28327, L: 58392, T: 13291
XOOXX_OXO W: 56652, L: 116773, T: 26583
_O__XX_O_ W: 28327, L: 58392, T: 13291
_OX_XX_OO W: 28327, L: 58392, T: 13291
O__XO_X__ W: 28327, L: 58392, T: 13291
OX_XOOX__ W: 28327, L: 58392, T: 13291
OXXXOOXO_ W: 56652, L: 116773, T: 26583
X____OX_O W: 28327, L: 58392, T: 13291
