_XX_O____ W: 5101, L: 22321, T: 2587
_XX_O_X_O W: 5101, L: 22321, T: 2587
__XX_O___ W: 5101, L: 22321, T: 2587
__XX_OO_X W: 5101, L: 22321, T: 2587
__XXOOOXX W: 5101, L: 22321, T: 2587
OXXX___O_ W: 5101, L: 22321, T: 2587
OXXXOX_O_ W: 5101, L: 22321, T: 2587
O_X__X___ W: 5101, L: 22321, T: 2587
O_X_XX_O_ W: 5101, L: 22321, T: 2587
O____XX__ W: 5101, L: 22321, T: 2587
O__OXXX__ W: 5101, L: 22321, T: 2587
_____OX_X W: 5101, L: 22321, T: 2587
X_O____X_ W: 5101, L: 22321, T: 2587
X_O_O_XX_ W: 5101, L: 22321, T: 2587
XXO_OOXX_ W: 5101, L: 22321, T: 2587
OO__X__XX W: 5101, L: 22321, T: 2587
OOXOX__XX W: 5101, L: 22321, T: 2587
X_O_X____ W: 5101, L: 22321, T: 2587
XXO_X_O__ W: 5101, L: 22321, T: 2587
XXO_XXOO_ W: 5101, L: 22321, T: 2587
X___XO___ W: 5101, L: 22321, T: 2587
XO__XOX__ W: 5101, L: 22321, T: 2587
XX_____O_ W: 5101, L: 22321, T: 2587
XX_O_X_O_ W: 5101, L: 22321, T: 2587
XXOO_XXO_ W: 5101, L: 22321, T: 2587
X_X_O____ W: 5101, L: 22321, T: 2587
__OXX____ W: 5101, L: 22321, T: 2587
OXOXX____ W: 5101, L: 22321, T: 2587
OXOXXO__X W: 5101, L: 22321, T: 2587
___O__X_X W: 5101, L: 22321, T: 2587
XO_X_____ W: 5101, L: 22321, T: 2587
X______XO W: 5101, L: 22321, T: 2587
X__OX__XO W: 5101, L: 22321, T: 2587
XOXOX__XO W: 5101, L: 22321, T: 2587
_X___X__O W: 5101, L: 22321, T: 2587
_X_O_XX_O W: 5101, L: 22321, T: 2587
XX_O_XXOO W: 5101, L: 22321, T: 2587
O___XX___ W: 5101, L: 22321, T: 2587
O___XXOX_ W: 5101, L: 22321, T: 2587
OOX_XXOX_ W: 5101, L: 22321, T: 2587
__O____XX W: 5101, L: 22321, T: 2587
__OXO__XX W: 5101, L: 22321, T: 2587
OO_X__X_X W: 5101, L: 22321, T: 2587
__XOX_O_X W: 5101, L: 22321, T: 2587
XOO___XX_ W: 5101, L: 22321, T: 2587
XOOO_XXX_ W: 5101, L: 22321, T: 2587
_X__O___X W: 5101, L: 22321, T: 2587
_X_XO_O_X W: 5101, L: 22321, T: 2587
OXXXO_O_X W: 5101, L: 22321, T: 2587
X__X__O__ W: 5101, L: 22321, T: 2587
X_XX__OO_ W: 5101, L: 22321, T: 2587
XOXX__OOX W: 5101, L: 22321, T: 2587
_O_____XX W: 5101, L: 22321, T: 2587
XO____OXX W: 5101, L: 22321, T: 2587
