__X___X_O W: 22321, L: 5101, T: 2587
__XX_OX_O W: 22321, L: 5101, T: 2587
XXO_O__X_ W: 22321, L: 5101, T: 2587
__O__X_X_ W: 22321, L: 5101, T: 2587
O_OX_X_X_ W: 22321, L: 5101, T: 2587
OXOX_X_XO W: 22321, L: 5101, T: 2587
__O____XX W: 22321, L: 5101, T: 2587
_OO_X__XX W: 22321, L: 5101, T: 2587
_XX__O___ W: 22321, L: 5101, T: 2587
OXXX_OO_X W: 22321, L: 5101, T: 2587
_XO_X____ W: 22321, L: 5101, T: 2587
_XO_XXO__ W: 22321, L: 5101, T: 2587
OXO_XXO_X W: 22321, L: 5101, T: 2587
__X_XO___ W: 22321, L: 5101, T: 2587
O_X_XO_X_ W: 22321, L: 5101, T: 2587
__XX_O___ W: 22321, L: 5101, T: 2587
__XX_OOX_ W: 22321, L: 5101, T: 2587
O_XXXOOX_ W: 22321, L: 5101, T: 2587
O_X_____X W: 22321, L: 5101, T: 2587
O_XX_O__X W: 22321, L: 5101, T: 2587
O_XX_OOXX W: 22321, L: 5101, T: 2587
X___OX___ W: 22321, L: 5101, T: 2587
X__XOXO__ W: 22321, L: 5101, T: 2587
X__XOXOOX W: 22321, L: 5101, T: 2587
___XO__X_ W: 22321, L: 5101, T: 2587
___XOX_XO W: 22321, L: 5101, T: 2587
XO_XOX_XO W: 22321, L: 5101, T: 2587
X__X____O W: 22321, L: 5101, T: 2587
X__X_O_XO W: 22321, L: 5101, T: 2587
OX_X__OX_ W: 22321, L: 5101, T: 2587
____XOX__ W: 22321, L: 5101, T: 2587
XO__XOX__ W: 22321, L: 5101, T: 2587
X__OX____ W: 22321, L: 5101, T: 2587
XO_OX_X__ W: 22321, L: 5101, T: 2587
XOOOXXX__ W: 22321, L: 5101, T: 2587
___X_X__O W: 22321, L: 5101, T: 2587
__XX_X_OO W: 22321, L: 5101, T: 2587
X_XOXO___ W: 22321, L: 5101, T: 2587
O__X__X__ W: 22321, L: 5101, T: 2587
OX_X__X_O W: 22321, L: 5101, T: 2587
OX_X_OXXO W: 22321, L: 5101, T: 2587
XX_____O_ W: 22321, L: 5101, T: 2587
XX_OX__O_ W: 22321, L: 5101, T: 2587
_X__XO_OX W: 22321, L: 5101, T: 2587
_XO_XOXOX W: 22321, L: 5101, T: 2587
O___XX___ W: 22321, L: 5101, T: 2587
OX__XX__O W: 22321, L: 5101, T: 2587
__X__O_X_ W: 22321, L: 5101, T: 2587
OXX__O_X_ W: 22321, L: 5101, T: 2587
OXX__OOXX W: 22321, L: 5101, T: 2587
